Wk,Winner,Loser
11,Brigham Young,Boise State
11,(25) Central Florida,Memphis
11,Cincinnati,Navy
11,Florida,Texas A&M
11,Florida State,Miami (FL)
11,Fresno State,Hawaii
11,(1) Georgia,(2) Tennessee
11,Georgia State,Southern Mississippi
11,Georgia Tech,Virginia Tech
11,Iowa,Purdue
11,Iowa State,West Virginia
11,Kansas,(18) Oklahoma State
11,Kentucky,Missouri
11,(23) Liberty,Arkansas
11,(15) Louisiana State,(6) Alabama
11,Louisiana Tech,Middle Tennessee State
11,Louisiana-Monroe,Texas State
11,Louisville,James Madison
11,Marshall,Old Dominion
11,(4) Michigan,Rutgers
11,Michigan State,(14) Illinois
11,Minnesota,Nebraska
11,Mississippi State,Auburn
11,(17) North Carolina,Virginia
11,(21) North Carolina State,(20) Wake Forest
11,North Texas,Florida International
11,Notre Dame,(5) Clemson
11,(2) Ohio State,Northwestern
11,(8) Oregon,Colorado
11,(16) Penn State,Indiana
11,Pittsburgh,(22) Syracuse
11,San Diego State,Nevada-Las Vegas
11,San Jose State,Colorado State
11,South Alabama,Georgia Southern
11,South Carolina,Vanderbilt
11,(9) Southern California,California
11,Southern Methodist,Houston
11,Temple,South Florida
11,Texas,(13) Kansas State
11,(7) Texas Christian,Texas Tech
11,Texas-San Antonio,Alabama-Birmingham
11,Troy,Louisiana
11,(19) Tulane,Tulsa
11,(10) UCLA,Arizona State
11,(12) Utah,Arizona
11,Utah State,New Mexico
11,Washington State,Stanford
11,Western Kentucky,Charlotte
11,Wisconsin,Maryland
12,Eastern Michigan,Akron
12,Ohio,Miami (OH)
12,Toledo,Ball State
12,Central Michigan,Buffalo
12,Kent State,Bowling Green
12,Northern Illinois,Western Michigan
12,Louisiana,Georgia Southern
12,Memphis,Tulsa
12,Cincinnati,East Carolina
12,Fresno State,Nevada-Las Vegas
12,(8) Southern California,Colorado
12,Air Force,New Mexico
12,(10) Alabama,(11) Mississippi
12,Alabama-Birmingham,North Texas
12,Arizona,(9) UCLA
12,Arkansas State,Massachusetts
12,Auburn,Texas A&M
12,Boise State,Nevada
12,Boston College,(17) North Carolina State
12,(22) Central Florida,(16) Tulane
12,(12) Clemson,Louisville
12,Coastal Carolina,Southern Mississippi
12,Connecticut,(19) Liberty
12,Duke,Virginia Tech
12,Florida,South Carolina
12,Florida Atlantic,Florida International
12,(25) Florida State,Syracuse
12,(1) Georgia,Mississippi State
12,Houston,Temple
12,Iowa,Wisconsin
12,James Madison,Old Dominion
12,(23) Kansas State,Baylor
12,(7) Louisiana State,Arkansas
12,Louisiana-Monroe,Georgia State
12,Marshall,Appalachian State
12,Miami (FL),Georgia Tech
12,(3) Michigan,Nebraska
12,Michigan State,Rutgers
12,Middle Tennessee State,Charlotte
12,Minnesota,Northwestern
12,New Mexico State,Lamar
12,(15) North Carolina,Wake Forest
12,(20) Notre Dame,Navy
12,(2) Ohio State,Indiana
12,Oklahoma State,Iowa State
12,Oregon State,California
12,(14) Penn State,Maryland
12,Pittsburgh,Virginia
12,Purdue,(21) Illinois
12,San Diego State,San Jose State
12,South Alabama,Texas State
12,Southern Methodist,South Florida
12,(5) Tennessee,Missouri
12,(4) Texas Christian,(18) Texas
12,Texas Tech,Kansas
12,Texas-San Antonio,Louisiana Tech
12,Troy,Army
12,(13) Utah,Stanford
12,Utah State,Hawaii
12,Vanderbilt,Kentucky
12,(24) Washington,(6) Oregon
12,Washington State,Arizona State
12,West Virginia,Oklahoma
12,Western Kentucky,Rice
12,Wyoming,Colorado State
13,Bowling Green,Toledo
13,Ohio,Ball State
13,Eastern Michigan,Kent State
13,Miami (OH),Northern Illinois
13,Western Michigan,Central Michigan
13,(21) Tulane,Southern Methodist
13,San Diego State,New Mexico
13,Tulsa,South Florida
13,Air Force,Colorado State
13,(8) Alabama,Austin Peay
13,Appalachian State,Old Dominion
13,Arkansas,(14) Mississippi
13,Army,Connecticut
13,Auburn,Western Kentucky
13,Boise State,Wyoming
13,Brigham Young,Utah Tech
13,California,Stanford
13,Charlotte,Louisiana Tech
13,(22) Cincinnati,Temple
13,(9) Clemson,Miami (FL)
13,(20) Florida State,Louisiana
13,Fresno State,Nevada
13,(1) Georgia,Kentucky
13,Georgia Tech,(13) North Carolina
